,ID,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos,Product_Name,Date,Rating_Score,Reviews,Link,Product_ID
0,0,0.028,0.667,0.305,0.972,0.001775936922058463,0.006046120077371597,0.9921780228614807,NatureWorks-HydroMATE-Electrolytes-Chocolate-Count,2023-01-25,5.0,"
I love this. I make it for myself and my kids as hot chocolate or “chocolate milk” and the taste is so good they have no idea it’s good for them. Other brands taste like medicine, this is just delicious. Always feel refreshed and energized afterwards which you cannot say for most hydration and electrolyte drinks! Will definitely keep buying it!!!
",https://www.amazon.com/NatureWorks-HydroMATE-Electrolytes-Chocolate-Count/product-reviews/B0BRT77ZK8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,B0BRT77ZK8
1,1,0.0,0.89,0.11,0.3818,0.0035885304678231478,0.05695407837629318,0.9394574165344238,NatureWorks-HydroMATE-Electrolytes-Chocolate-Count,2023-02-06,5.0,"
Takes away lightheadedness and makes my husband feel much better..He's 71 and takes this willingly everyday because he knows it helps him.
",https://www.amazon.com/NatureWorks-HydroMATE-Electrolytes-Chocolate-Count/product-reviews/B0BRT77ZK8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,B0BRT77ZK8
2,2,0.0,0.631,0.369,0.906,0.0012341105611994863,0.008779479190707207,0.9899863600730896,NatureWorks-HydroMATE-Electrolytes-Chocolate-Count,2023-01-27,5.0,"
The chocolate tastes delicious! I drink it every morning and it energizes me for my day. I will definitely be buying again. 10/10 would recommend.
",https://www.amazon.com/NatureWorks-HydroMATE-Electrolytes-Chocolate-Count/product-reviews/B0BRT77ZK8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,B0BRT77ZK8
3,3,0.0,0.618,0.382,0.9146,0.0016667172312736511,0.006437117699533701,0.9918962121009827,NatureWorks-HydroMATE-Electrolytes-Chocolate-Count,2023-01-27,5.0,"
I absolutely love this! My buddy gave me a few of his and immediately I was sold! Taste is pretty good also!!!
",https://www.amazon.com/NatureWorks-HydroMATE-Electrolytes-Chocolate-Count/product-reviews/B0BRT77ZK8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,B0BRT77ZK8
4,4,0.013,0.873,0.114,0.9866,0.08460157364606857,0.3349704444408417,0.5804279446601868,NatureWorks-HydroMATE-Electrolytes-Chocolate-Count,2023-02-18,4.0,"
I like to work out regularly. This includes weight-lifting on some days and running on the treadmill for other days. Given how depleting it can be to run for prolonged periods of time, I like to have an electrolyte drink after my cardio days on the treadmill to try to restore my electrolytes. After having tried this electrolyte drink mix, I must say that I am rather impressed.This chocolate flavored hydration mix actually tastes better than I thought it would. I was a little bit hesitant as I have normally only had fruity-flavored electrolyte drink mixes before, and nothing I have had was similar to the rich flavor of chocolate. However, after having a mix with 8 ounces of water, I was surprised to note that it tasted like hot chocolate - although cold, because I did not use hot water. At 8 ounces of water, it did taste a bit watered down still. I believe that this drink will be most enjoyable if used with hot water or milk for a richer taste, and potentially with less water than they recommend (they recommend 8 to 16 ounces of water per stick).There are a couple of flaws that I have with this product. Firstly, the drink mix did not fully dissolve well. Some other electrolyte drink mixes that I have used have dissolved better than this one. Also, for this drink mix to be most enjoyable, I believe one should use milk or hot water (or hot milk, for that matter). This is an extra step versus with fruity flavors that can be very enjoyable in cold water (from the sink for me). As I enjoy convenience and wouldn't want to heat water each time before use, this is a flaw for me.I like how these sticks have a good vitamin profile. Each stick has significant amount of Vitamin C, B6, and B12, as well as some zinc. You're getting more than just electrolytes with these sticks. There are 2.5 grams of added sugar per stick, which is higher than I typically like as I try to avoid added sugar. But, there are only 10 calories per stick, so if you're a calorie counter, these might be for you.Given the rather affordable price of these electrolyte sticks ($36 for 30 sticks at the time of writing), I think that these could certainly be worth it for those who enjoy the hot chocolate flavor. Given the flaws that I personally have found with these, I will give them 4 stars.
",https://www.amazon.com/NatureWorks-HydroMATE-Electrolytes-Chocolate-Count/product-reviews/B0BRT77ZK8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,B0BRT77ZK8
5,5,0.067,0.694,0.239,0.9808,0.007222765125334263,0.03437196835875511,0.9584052562713623,NatureWorks-HydroMATE-Electrolytes-Chocolate-Count,2023-02-16,4.0,"
This was a fun one and one of the more unique water additives I've tried. This is like having portable yoohoo everywhere you go! My only negative is that the flavor isn't as robust as the ""real thing"", but it's very, very good. The packets are strong and would be fine to travel with -- I had no concerns with the package being flimsy or difficult to open. The additive did dissolve fully for me, which is something that's a big point of interest for me. Flavor is good! Like watery chocolate, again, a neat and unique flavor additive. The packaging notes you can also try this hot, but I put this in cold water and enjoyed.
",https://www.amazon.com/NatureWorks-HydroMATE-Electrolytes-Chocolate-Count/product-reviews/B0BRT77ZK8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,B0BRT77ZK8
6,6,0.015,0.686,0.299,0.981,0.003421874949708581,0.0209749024361372,0.9756032228469849,NatureWorks-HydroMATE-Electrolytes-Chocolate-Count,2023-02-19,4.0,"
The powder is easily mixed into cool or hot water. I like that there are very few lumps. It tastes okay. I'm not sure of the sugar, calories, or electrolyte intake but, I did feel more energized after drinking it. I tried it cold and I liked it. My favorite way of drinking it is hot. The packets are easy to travel with and open. I like that they are conveniently made. Overall, I think it is a good product.
",https://www.amazon.com/NatureWorks-HydroMATE-Electrolytes-Chocolate-Count/product-reviews/B0BRT77ZK8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,B0BRT77ZK8
7,7,0.015,0.851,0.134,0.9536,0.028820650652050972,0.14542309939861298,0.8257561922073364,NatureWorks-HydroMATE-Electrolytes-Chocolate-Count,2023-02-09,4.0,"
RECOMMENDATIONS:Recommended.The packets tastes great! Almost as good as regular hot chocolate, although you do taste that extra saltiness associated with hydration mixes.Honestly do not know if it works or not; how do you measure your body is getting hydration from a packet? I do notice that it makes me less thirsty throughout the morning after ingesting this, so there’s that.POSITIVES:- Tastes great for a hydration packet mix. If the packaging holds true, it also does not contain extra carbs either.- Portable; you can take these with you anywhere.- Highly dissolvable (is that a word?), you can use these with cold, hot drinks and anywhere in between.- Individual packets can easily be opened; no need for a knife or scrips or.NEGATIVES:- Nothing comes to mind, just hoping they work as advertised.IMPROVEMENTS:- None
",https://www.amazon.com/NatureWorks-HydroMATE-Electrolytes-Chocolate-Count/product-reviews/B0BRT77ZK8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,B0BRT77ZK8
8,8,0.042,0.894,0.064,0.3173,0.1104763001203537,0.4716184139251709,0.4179053008556366,NatureWorks-HydroMATE-Electrolytes-Chocolate-Count,2023-02-16,4.0,"
The overall essence of chocolate is very light, but still noticeable. I preferred adding a stick to hot water as the chocolate flavor was very unappealing when combined with cold water on its own. The sticks themselves are durable, and wouldn't tear easily if left to bounce around freely at the bottom of a gym bag.
",https://www.amazon.com/NatureWorks-HydroMATE-Electrolytes-Chocolate-Count/product-reviews/B0BRT77ZK8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,B0BRT77ZK8
9,9,0.01,0.74,0.25,0.9895,0.008250495418906212,0.04138670861721039,0.9503628015518188,NatureWorks-HydroMATE-Electrolytes-Chocolate-Count,2023-02-08,4.0,"
So I was hesitant to try this because most of the time when you think of drink mixes for hydration, you think of fruity flavors like lemonade or something - not chocolate. Especially when mixing with water… it just doesn’t sound good. BUT I was really surprised by how much I liked this product! I’ve only tried it with hot water (like a hot cocoa) and I was surprised by how much chocolate flavor there was. It would probably be better with warm milk but I wanted to try it with water first and I was not disappointed. Overall, I liked this and I will definitely use them for before/after workouts. I’m excited to try it with milk to see if it’s even better than with the water. Will update if I remember!
",https://www.amazon.com/NatureWorks-HydroMATE-Electrolytes-Chocolate-Count/product-reviews/B0BRT77ZK8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,B0BRT77ZK8
